condition,acc_type,dataset,run,accuracy
context_unaware,train,"(3,4)",0,0.9605829119682312
context_unaware,val,"(3,4)",0,0.8980208039283752
context_unaware,test,"(3,4)",0,0.8083274960517883
context_unaware,train,"(3,4)",1,0.9904640316963196
context_unaware,val,"(3,4)",1,0.9357942938804626
context_unaware,test,"(3,4)",1,0.8176450133323669
context_unaware,train,"(3,4)",2,0.9737241268157959
context_unaware,val,"(3,4)",2,0.9115495085716248
context_unaware,test,"(3,4)",2,0.7560324668884277
context_unaware,train,"(3,4)",3,0.9706003069877625
context_unaware,val,"(3,4)",3,0.9106640219688416
context_unaware,test,"(3,4)",3,0.7877799868583679
context_unaware,train,"(3,4)",4,0.9706067442893982
context_unaware,val,"(3,4)",4,0.9200131297111511
context_unaware,test,"(3,4)",4,0.7839824557304382
context_unaware,train,"(3,8)",0,0.9804570078849792
context_unaware,val,"(3,8)",0,0.9270797371864319
context_unaware,test,"(3,8)",0,0.8341330885887146
context_unaware,train,"(3,8)",1,0.9784871935844421
context_unaware,val,"(3,8)",1,0.9485126733779907
context_unaware,test,"(3,8)",1,0.8969906568527222
context_unaware,train,"(3,8)",2,0.9838891625404358
context_unaware,val,"(3,8)",2,0.9546145796775818
context_unaware,test,"(3,8)",2,0.8680822253227234
context_unaware,train,"(3,8)",3,0.9835445880889893
context_unaware,val,"(3,8)",3,0.953069269657135
context_unaware,test,"(3,8)",3,0.8446617722511292
context_unaware,train,"(3,8)",4,0.9873000979423523
context_unaware,val,"(3,8)",4,0.9612401723861694
context_unaware,test,"(3,8)",4,0.9004751443862915
context_unaware,train,"(3,16)",0,0.9239499568939209
context_unaware,val,"(3,16)",0,0.8736602067947388
context_unaware,test,"(3,16)",0,0.8695372939109802
context_unaware,train,"(3,16)",1,0.9826588034629822
context_unaware,val,"(3,16)",1,0.9797253608703613
context_unaware,test,"(3,16)",1,0.9672262668609619
context_unaware,train,"(3,16)",2,0.9836758971214294
context_unaware,val,"(3,16)",2,0.9814383387565613
context_unaware,test,"(3,16)",2,0.9718508720397949
context_unaware,train,"(3,16)",3,0.9805223941802979
context_unaware,val,"(3,16)",3,0.974433422088623
context_unaware,test,"(3,16)",3,0.9673804044723511
context_unaware,train,"(3,16)",4,0.956358015537262
context_unaware,val,"(3,16)",4,0.9497721195220947
context_unaware,test,"(3,16)",4,0.9289382100105286
context_unaware,train,"(4,4)",0,0.9659777879714966
context_unaware,val,"(4,4)",0,0.9251452684402466
context_unaware,test,"(4,4)",0,0.8706699013710022
context_unaware,train,"(4,4)",1,0.9581041932106018
context_unaware,val,"(4,4)",1,0.9036257863044739
context_unaware,test,"(4,4)",1,0.8720374703407288
context_unaware,train,"(4,4)",2,0.9742040634155273
context_unaware,val,"(4,4)",2,0.9025489687919617
context_unaware,test,"(4,4)",2,0.8702674508094788
context_unaware,train,"(4,4)",3,0.9753308892250061
context_unaware,val,"(4,4)",3,0.9441981911659241
context_unaware,test,"(4,4)",3,0.9255974888801575
context_unaware,train,"(4,4)",4,0.9277399182319641
context_unaware,val,"(4,4)",4,0.8782475590705872
context_unaware,test,"(4,4)",4,0.8529349565505981
context_unaware,train,"(4,8)",0,0.908778190612793
context_unaware,val,"(4,8)",0,0.8693711161613464
context_unaware,test,"(4,8)",0,0.866600513458252
context_unaware,train,"(4,8)",1,0.978131890296936
context_unaware,val,"(4,8)",1,0.9648332595825195
context_unaware,test,"(4,8)",1,0.9621120095252991
context_unaware,train,"(4,8)",2,0.9770071506500244
context_unaware,val,"(4,8)",2,0.9753829836845398
context_unaware,test,"(4,8)",2,0.9717785120010376
context_unaware,train,"(4,8)",3,0.9085500240325928
context_unaware,val,"(4,8)",3,0.843974769115448
context_unaware,test,"(4,8)",3,0.8391729593276978
context_unaware,train,"(4,8)",4,0.8824033141136169
context_unaware,val,"(4,8)",4,0.8490128517150879
context_unaware,test,"(4,8)",4,0.8402057886123657
context_unaware,train,"(5,4)",0,0.9603487849235535
