condition,score,dataset,run,entropy
context_unaware,NMI,"(3,4)",0,0.7902900139291691
context_unaware,effectiveness,"(3,4)",0,0.8148263879311288
context_unaware,consistency,"(3,4)",0,0.7671881416146027
context_unaware,NMI,"(3,4)",1,0.8310464273644863
context_unaware,effectiveness,"(3,4)",1,0.9638440772774989
context_unaware,consistency,"(3,4)",1,0.730410996679806
context_unaware,NMI,"(3,4)",2,0.8190077301347408
context_unaware,effectiveness,"(3,4)",2,0.933536479690482
context_unaware,consistency,"(3,4)",2,0.7295095494954695
context_unaware,NMI,"(3,4)",3,0.7962366219391499
context_unaware,effectiveness,"(3,4)",3,0.8670588935749606
context_unaware,consistency,"(3,4)",3,0.736110362433041
context_unaware,NMI,"(3,4)",4,0.8142449906997546
context_unaware,effectiveness,"(3,4)",4,0.9045164587582536
context_unaware,consistency,"(3,4)",4,0.7403567893170235
context_unaware,NMI,"(3,8)",0,0.867596223550951
context_unaware,effectiveness,"(3,8)",0,0.9947500406385466
context_unaware,consistency,"(3,8)",0,0.7692650067041906
context_unaware,NMI,"(3,8)",1,0.8648009035185299
context_unaware,effectiveness,"(3,8)",1,0.993350001397185
context_unaware,consistency,"(3,8)",1,0.7657105521101812
context_unaware,NMI,"(3,8)",2,0.8683579938285071
context_unaware,effectiveness,"(3,8)",2,0.9942614766710707
context_unaware,consistency,"(3,8)",2,0.7707569263708531
context_unaware,NMI,"(3,8)",3,0.8670375749277202
context_unaware,effectiveness,"(3,8)",3,0.995260990321417
context_unaware,consistency,"(3,8)",3,0.7680824683268977
context_unaware,NMI,"(3,8)",4,0.8672302185627752
context_unaware,effectiveness,"(3,8)",4,0.998426289306617
context_unaware,consistency,"(3,8)",4,0.7665087729456073
context_unaware,NMI,"(3,16)",0,0.8564941078523014
context_unaware,effectiveness,"(3,16)",0,0.915727003035894
context_unaware,consistency,"(3,16)",0,0.8044585053537471
context_unaware,NMI,"(3,16)",1,0.8889369790029408
context_unaware,effectiveness,"(3,16)",1,0.8159126165078777
context_unaware,consistency,"(3,16)",1,0.9763176258759185
context_unaware,NMI,"(3,16)",2,0.8917426113361031
context_unaware,effectiveness,"(3,16)",2,0.8459452465022947
context_unaware,consistency,"(3,16)",2,0.9427825036420768
context_unaware,NMI,"(3,16)",3,0.8744347709342201
context_unaware,effectiveness,"(3,16)",3,0.9206321967371155
context_unaware,consistency,"(3,16)",3,0.8326521915552625
context_unaware,NMI,"(3,16)",4,0.7695538096652921
context_unaware,effectiveness,"(3,16)",4,0.6474221691982337
context_unaware,consistency,"(3,16)",4,0.9484774034889214
context_unaware,NMI,"(4,4)",0,0.851088565653776
context_unaware,effectiveness,"(4,4)",0,0.9289392471741009
context_unaware,consistency,"(4,4)",0,0.7852775925978344
context_unaware,NMI,"(4,4)",1,0.8508104243609333
context_unaware,effectiveness,"(4,4)",1,0.9595564373104881
context_unaware,consistency,"(4,4)",1,0.7642036386115898
context_unaware,NMI,"(4,4)",2,0.8583973275654736
context_unaware,effectiveness,"(4,4)",2,0.9857414952078566
context_unaware,consistency,"(4,4)",2,0.7601911455674412
context_unaware,NMI,"(4,4)",3,0.8597908604500284
context_unaware,effectiveness,"(4,4)",3,0.9911756077911748
context_unaware,consistency,"(4,4)",3,0.759160721099402
context_unaware,NMI,"(4,4)",4,0.8500690470563919
context_unaware,effectiveness,"(4,4)",4,0.9721683740704524
context_unaware,consistency,"(4,4)",4,0.755217614945034
context_unaware,NMI,"(4,8)",0,0.8388752440295908
context_unaware,effectiveness,"(4,8)",0,0.8644846665204434
context_unaware,consistency,"(4,8)",0,0.814739469164111
context_unaware,NMI,"(4,8)",1,0.8900579291974675
context_unaware,effectiveness,"(4,8)",1,0.9808798122331805
context_unaware,consistency,"(4,8)",1,0.8146295357392497
context_unaware,NMI,"(4,8)",2,0.8826460384994268
context_unaware,effectiveness,"(4,8)",2,0.8371259172520249
context_unaware,consistency,"(4,8)",2,0.9334012943272888
context_unaware,NMI,"(4,8)",3,0.8559308016005215
context_unaware,effectiveness,"(4,8)",3,0.9051996450477036
context_unaware,consistency,"(4,8)",3,0.811748388902773
context_unaware,NMI,"(4,8)",4,0.8357237972157951
context_unaware,effectiveness,"(4,8)",4,0.8595066769989886
context_unaware,consistency,"(4,8)",4,0.8132216421200811
context_unaware,NMI,"(5,4)",0,0.8798498011031397
context_unaware,effectiveness,"(5,4)",0,0.9852849612433408
context_unaware,consistency,"(5,4)",0,0.7947985557286972
context_unaware,NMI,"(5,4)",1,0.6652800719314469
context_unaware,effectiveness,"(5,4)",1,0.5782476474025144
