condition,score,dataset,run,fixed,entropy
context_unaware,NMI_hierarchical,"(3,4)",0,0,0.779790349649863
context_unaware,NMI_hierarchical,"(3,4)",0,1,0.7984547901169471
context_unaware,NMI_hierarchical,"(3,4)",0,2,0.8316284659409185
context_unaware,NMI_hierarchical,"(3,4)",0,3,
context_unaware,NMI_hierarchical,"(3,4)",0,4,
context_unaware,effectiveness_hierarchical,"(3,4)",0,0,0.9881318134635912
context_unaware,effectiveness_hierarchical,"(3,4)",0,1,0.9007070955360971
context_unaware,effectiveness_hierarchical,"(3,4)",0,2,0.8861547548912732
context_unaware,effectiveness_hierarchical,"(3,4)",0,3,
context_unaware,effectiveness_hierarchical,"(3,4)",0,4,
context_unaware,consistency_hierarchical,"(3,4)",0,0,0.6440057349833579
context_unaware,consistency_hierarchical,"(3,4)",0,1,0.717051850990337
context_unaware,consistency_hierarchical,"(3,4)",0,2,0.7834233763092102
context_unaware,consistency_hierarchical,"(3,4)",0,3,
context_unaware,consistency_hierarchical,"(3,4)",0,4,
context_unaware,NMI_hierarchical,"(3,4)",1,0,0.7742703491080349
context_unaware,NMI_hierarchical,"(3,4)",1,1,0.8019507537862616
context_unaware,NMI_hierarchical,"(3,4)",1,2,0.8203105819686674
context_unaware,NMI_hierarchical,"(3,4)",1,3,
context_unaware,NMI_hierarchical,"(3,4)",1,4,
context_unaware,effectiveness_hierarchical,"(3,4)",1,0,1.0
context_unaware,effectiveness_hierarchical,"(3,4)",1,1,0.9836572888839419
context_unaware,effectiveness_hierarchical,"(3,4)",1,2,0.9821621028184062
context_unaware,effectiveness_hierarchical,"(3,4)",1,3,
context_unaware,effectiveness_hierarchical,"(3,4)",1,4,
context_unaware,consistency_hierarchical,"(3,4)",1,0,0.6316811774477328
context_unaware,consistency_hierarchical,"(3,4)",1,1,0.67690852251843
context_unaware,consistency_hierarchical,"(3,4)",1,2,0.7042555695859856
context_unaware,consistency_hierarchical,"(3,4)",1,3,
context_unaware,consistency_hierarchical,"(3,4)",1,4,
context_unaware,NMI_hierarchical,"(3,4)",2,0,0.7511388848319283
context_unaware,NMI_hierarchical,"(3,4)",2,1,0.7890572145177086
context_unaware,NMI_hierarchical,"(3,4)",2,2,0.8241412782249737
context_unaware,NMI_hierarchical,"(3,4)",2,3,
context_unaware,NMI_hierarchical,"(3,4)",2,4,
context_unaware,effectiveness_hierarchical,"(3,4)",2,0,1.0
context_unaware,effectiveness_hierarchical,"(3,4)",2,1,0.9585550495118895
context_unaware,effectiveness_hierarchical,"(3,4)",2,2,0.9656721936517625
context_unaware,effectiveness_hierarchical,"(3,4)",2,3,
context_unaware,effectiveness_hierarchical,"(3,4)",2,4,
context_unaware,consistency_hierarchical,"(3,4)",2,0,0.6014591019841626
context_unaware,consistency_hierarchical,"(3,4)",2,1,0.6704958497233164
context_unaware,consistency_hierarchical,"(3,4)",2,2,0.7187934259729536
context_unaware,consistency_hierarchical,"(3,4)",2,3,
context_unaware,consistency_hierarchical,"(3,4)",2,4,
context_unaware,NMI_hierarchical,"(3,4)",3,0,0.7970418668653044
context_unaware,NMI_hierarchical,"(3,4)",3,1,0.7858476791168469
context_unaware,NMI_hierarchical,"(3,4)",3,2,0.8103734268597506
context_unaware,NMI_hierarchical,"(3,4)",3,3,
context_unaware,NMI_hierarchical,"(3,4)",3,4,
context_unaware,effectiveness_hierarchical,"(3,4)",3,0,0.9812662412697016
context_unaware,effectiveness_hierarchical,"(3,4)",3,1,0.9125715521008542
context_unaware,effectiveness_hierarchical,"(3,4)",3,2,0.9291408752172369
context_unaware,effectiveness_hierarchical,"(3,4)",3,3,
context_unaware,effectiveness_hierarchical,"(3,4)",3,4,
context_unaware,consistency_hierarchical,"(3,4)",3,0,0.6710566917616447
