condition,dataset,run,fixed,ml
context_unaware,"(3,4)",0,0,4.443
context_unaware,"(3,4)",0,1,4.236
context_unaware,"(3,4)",0,2,3.828
context_unaware,"(3,4)",0,3,
context_unaware,"(3,4)",0,4,
context_unaware,"(3,4)",1,0,5.414
context_unaware,"(3,4)",1,1,6.094
context_unaware,"(3,4)",1,2,7.579
context_unaware,"(3,4)",1,3,
context_unaware,"(3,4)",1,4,
context_unaware,"(3,4)",2,0,7.143
context_unaware,"(3,4)",2,1,7.06
context_unaware,"(3,4)",2,2,6.955
context_unaware,"(3,4)",2,3,
context_unaware,"(3,4)",2,4,
context_unaware,"(3,4)",3,0,4.343
context_unaware,"(3,4)",3,1,5.387
context_unaware,"(3,4)",3,2,6.037
context_unaware,"(3,4)",3,3,
context_unaware,"(3,4)",3,4,
context_unaware,"(3,4)",4,0,7.486
context_unaware,"(3,4)",4,1,7.003
context_unaware,"(3,4)",4,2,6.856
context_unaware,"(3,4)",4,3,
context_unaware,"(3,4)",4,4,
context_unaware,"(3,8)",0,0,8.121
context_unaware,"(3,8)",0,1,9.161
context_unaware,"(3,8)",0,2,9.908
context_unaware,"(3,8)",0,3,
context_unaware,"(3,8)",0,4,
context_unaware,"(3,8)",1,0,8.79
context_unaware,"(3,8)",1,1,9.674
context_unaware,"(3,8)",1,2,10.827
context_unaware,"(3,8)",1,3,
context_unaware,"(3,8)",1,4,
context_unaware,"(3,8)",2,0,7.701
context_unaware,"(3,8)",2,1,8.714
context_unaware,"(3,8)",2,2,9.665
context_unaware,"(3,8)",2,3,
context_unaware,"(3,8)",2,4,
context_unaware,"(3,8)",3,0,8.745
context_unaware,"(3,8)",3,1,9.251
context_unaware,"(3,8)",3,2,9.978
context_unaware,"(3,8)",3,3,
context_unaware,"(3,8)",3,4,
context_unaware,"(3,8)",4,0,7.975
context_unaware,"(3,8)",4,1,9.975
context_unaware,"(3,8)",4,2,11.992
context_unaware,"(3,8)",4,3,
context_unaware,"(3,8)",4,4,
context_unaware,"(3,16)",0,0,19.544
context_unaware,"(3,16)",0,1,19.755
context_unaware,"(3,16)",0,2,19.855
context_unaware,"(3,16)",0,3,
context_unaware,"(3,16)",0,4,
context_unaware,"(3,16)",1,0,3.113
context_unaware,"(3,16)",1,1,3.101
context_unaware,"(3,16)",1,2,3.179
context_unaware,"(3,16)",1,3,
context_unaware,"(3,16)",1,4,
context_unaware,"(3,16)",2,0,4.624
context_unaware,"(3,16)",2,1,4.511
context_unaware,"(3,16)",2,2,4.287
context_unaware,"(3,16)",2,3,
context_unaware,"(3,16)",2,4,
context_unaware,"(3,16)",3,0,8.464
context_unaware,"(3,16)",3,1,8.303
context_unaware,"(3,16)",3,2,8.14
context_unaware,"(3,16)",3,3,
context_unaware,"(3,16)",3,4,
context_unaware,"(3,16)",4,0,2.5
context_unaware,"(3,16)",4,1,2.612
context_unaware,"(3,16)",4,2,2.841
context_unaware,"(3,16)",4,3,
context_unaware,"(3,16)",4,4,
context_unaware,"(4,4)",0,0,7.622
context_unaware,"(4,4)",0,1,7.891
context_unaware,"(4,4)",0,2,7.418
context_unaware,"(4,4)",0,3,7.536
context_unaware,"(4,4)",0,4,
context_unaware,"(4,4)",1,0,6.463
context_unaware,"(4,4)",1,1,7.421
context_unaware,"(4,4)",1,2,8.598
context_unaware,"(4,4)",1,3,9.622
context_unaware,"(4,4)",1,4,
context_unaware,"(4,4)",2,0,10.085
