condition,rsa,dataset,run,accuracy
context_unaware,test,"(3,4)",0,0.8013312220573425
context_unaware,rsa,"(3,4)",0,0.8221879005432129
context_unaware,test,"(3,4)",1,0.8180128335952759
context_unaware,rsa,"(3,4)",1,0.9385047554969788
context_unaware,test,"(3,4)",2,0.7657592296600342
context_unaware,rsa,"(3,4)",2,0.8462175130844116
context_unaware,test,"(3,4)",3,0.7969959378242493
context_unaware,rsa,"(3,4)",3,0.8722496628761292
context_unaware,test,"(3,4)",4,0.7916903495788574
context_unaware,rsa,"(3,4)",4,0.8822015523910522
context_unaware,test,"(3,8)",0,0.833876371383667
context_unaware,rsa,"(3,8)",0,0.8334022760391235
context_unaware,test,"(3,8)",1,0.8890081644058228
context_unaware,rsa,"(3,8)",1,0.7834346294403076
context_unaware,test,"(3,8)",2,0.8659734129905701
context_unaware,rsa,"(3,8)",2,0.8160584568977356
context_unaware,test,"(3,8)",3,0.8478127717971802
context_unaware,rsa,"(3,8)",3,0.8006556630134583
context_unaware,test,"(3,8)",4,0.9068319797515869
context_unaware,rsa,"(3,8)",4,0.8812829256057739
context_unaware,test,"(3,16)",0,0.8734999895095825
context_unaware,rsa,"(3,16)",0,0.6753799915313721
context_unaware,test,"(3,16)",1,0.9866999983787537
context_unaware,rsa,"(3,16)",1,0.7489199638366699
context_unaware,test,"(3,16)",2,0.9653499126434326
context_unaware,rsa,"(3,16)",2,0.7069900035858154
context_unaware,test,"(3,16)",3,0.9823350310325623
context_unaware,rsa,"(3,16)",3,0.7013800144195557
context_unaware,test,"(3,16)",4,0.9344499111175537
context_unaware,rsa,"(3,16)",4,0.7526299953460693
context_unaware,test,"(4,4)",0,0.8761274218559265
context_unaware,rsa,"(4,4)",0,0.767270565032959
context_unaware,test,"(4,4)",1,0.8706129193305969
context_unaware,rsa,"(4,4)",1,0.7929081320762634
context_unaware,test,"(4,4)",2,0.8759099841117859
context_unaware,rsa,"(4,4)",2,0.7583548426628113
context_unaware,test,"(4,4)",3,0.9262726306915283
context_unaware,rsa,"(4,4)",3,0.740622878074646
context_unaware,test,"(4,4)",4,0.8506757616996765
context_unaware,rsa,"(4,4)",4,0.6871914267539978
