condition,rsa,dataset,run,lexsize,lexinfo,lexsizeratio
context_unaware,test,"(3,4)",0,97,6.323224639892578,0.388
context_unaware,rsa,"(3,4)",0,58,3.783061865604285,0.232
context_unaware,test,"(3,4)",1,104,3.409090995788574,0.416
context_unaware,rsa,"(3,4)",1,52,4.3888241449991865,0.208
context_unaware,test,"(3,4)",2,102,6.770833492279053,0.408
context_unaware,rsa,"(3,4)",2,50,4.251340866088867,0.2
context_unaware,test,"(3,4)",3,102,6.737013498942058,0.408
context_unaware,rsa,"(3,4)",3,52,3.99447386605399,0.208
context_unaware,test,"(3,4)",4,93,7.684159596761067,0.372
context_unaware,rsa,"(3,4)",4,46,4.234060668945313,0.184
context_unaware,test,"(3,8)",0,533,5.741764831542969,0.36506849315068496
context_unaware,rsa,"(3,8)",0,417,4.079480786008883,0.2856164383561644
context_unaware,test,"(3,8)",1,514,5.7117767333984375,0.35205479452054794
context_unaware,rsa,"(3,8)",1,349,4.170791454529494,0.23904109589041095
context_unaware,test,"(3,8)",2,506,5.837436930338542,0.34657534246575344
context_unaware,rsa,"(3,8)",2,389,4.137264712826236,0.26643835616438355
context_unaware,test,"(3,8)",3,520,6.070289210269325,0.3561643835616438
context_unaware,rsa,"(3,8)",3,391,4.075299796411547,0.2678082191780822
context_unaware,test,"(3,8)",4,513,5.744346618652344,0.35136986301369866
context_unaware,rsa,"(3,8)",4,353,4.117501094423491,0.24178082191780823
context_unaware,test,"(3,16)",0,35,5.902777671813965,0.35
context_unaware,rsa,"(3,16)",0,46,3.0198677910698786,0.46
context_unaware,test,"(3,16)",1,12,5.325112342834473,0.12
context_unaware,rsa,"(3,16)",1,57,4.395785013834636,0.57
context_unaware,test,"(3,16)",2,25,5.132389068603516,0.25
context_unaware,rsa,"(3,16)",2,63,4.278072357177734,0.63
context_unaware,test,"(3,16)",3,32,5.355603218078613,0.32
context_unaware,rsa,"(3,16)",3,69,4.145593643188477,0.69
context_unaware,test,"(3,16)",4,19,5.263513837541852,0.19
context_unaware,rsa,"(3,16)",4,47,3.3701352206143467,0.47
context_unaware,test,"(4,4)",0,689,5.57317470496809,0.5512
context_unaware,rsa,"(4,4)",0,303,3.445212809244792,0.2424
context_unaware,test,"(4,4)",1,781,5.996570587158203,0.6248
context_unaware,rsa,"(4,4)",1,255,3.353598043221195,0.204
context_unaware,test,"(4,4)",2,761,6.412281345676732,0.6088
context_unaware,rsa,"(4,4)",2,262,3.5507523820206925,0.2096
context_unaware,test,"(4,4)",3,748,6.848544389773638,0.5984
context_unaware,rsa,"(4,4)",3,337,3.640172497979526,0.2696
context_unaware,test,"(4,4)",4,704,5.899638671875,0.5632
context_unaware,rsa,"(4,4)",4,168,3.294170314982786,0.1344
context_unaware,test,"(4,8)",0,34,4.4836925930447045,0.34
context_unaware,rsa,"(4,8)",0,83,4.332180976867676,0.83
context_unaware,test,"(4,8)",1,47,5.493102179633246,0.47
context_unaware,rsa,"(4,8)",1,78,4.177964210510254,0.78
context_unaware,test,"(4,8)",2,16,5.4492573738098145,0.16
context_unaware,rsa,"(4,8)",2,80,4.725120544433594,0.8
context_unaware,test,"(4,8)",3,58,5.540674686431885,0.58
context_unaware,rsa,"(4,8)",3,81,5.253018697102864,0.81
context_unaware,test,"(4,8)",4,55,6.369047982352121,0.55
context_unaware,rsa,"(4,8)",4,75,4.683029556274414,0.75
context_unaware,test,"(5,4)",0,56,5.368197304861886,0.56
context_unaware,rsa,"(5,4)",0,62,3.490364299100988,0.62
context_unaware,test,"(5,4)",1,21,5.324453626360212,0.21
context_unaware,rsa,"(5,4)",1,14,2.0857973098754883,0.14
context_unaware,test,"(5,4)",2,43,3.6999179295131137,0.43
context_unaware,rsa,"(5,4)",2,61,3.1169150670369468,0.61
context_unaware,test,"(5,4)",3,51,3.6305408477783203,0.51
context_unaware,rsa,"(5,4)",3,60,2.930835247039795,0.6
context_unaware,test,"(5,4)",4,48,4.713168057528409,0.48
context_unaware,rsa,"(5,4)",4,66,2.868128204345703,0.66
context_aware,test,"(3,4)",0,139,4.286522575046705,0.556
context_aware,rsa,"(3,4)",0,40,4.376975740705218,0.16
context_aware,test,"(3,4)",1,167,4.06162961324056,0.668
context_aware,rsa,"(3,4)",1,34,4.1387168884277346,0.136
context_aware,test,"(3,4)",2,197,4.15701615182977,0.788
context_aware,rsa,"(3,4)",2,46,4.166134869610822,0.184
context_aware,test,"(3,4)",3,110,4.097069331577846,0.44
context_aware,rsa,"(3,4)",3,48,3.9983673095703125,0.192
context_aware,test,"(3,4)",4,156,3.9254255623653016,0.624
context_aware,rsa,"(3,4)",4,44,4.162761052449544,0.176
context_aware,test,"(3,8)",0,991,3.364764894757952,0.6787671232876712
context_aware,rsa,"(3,8)",0,151,3.6950655531609193,0.10342465753424658
context_aware,test,"(3,8)",1,875,3.661426345736994,0.5993150684931506
context_aware,rsa,"(3,8)",1,171,3.7868113199869793,0.11712328767123288
context_aware,test,"(3,8)",2,713,3.38644873046875,0.48835616438356166
context_aware,rsa,"(3,8)",2,139,3.8003880884740258,0.09520547945205479
context_aware,test,"(3,8)",3,998,3.490668786090353,0.6835616438356165
context_aware,rsa,"(3,8)",3,171,3.4568783658222086,0.11712328767123288
context_aware,test,"(3,8)",4,935,3.553299177938433,0.6404109589041096
context_aware,rsa,"(3,8)",4,145,3.6329377640125364,0.09931506849315068
context_aware,test,"(3,16)",0,54,4.0751220703125,0.54
context_aware,rsa,"(3,16)",0,44,3.6073292323521207,0.44
context_aware,test,"(3,16)",1,50,4.389713764190674,0.5
context_aware,rsa,"(3,16)",1,49,4.69202635023329,0.49
context_aware,test,"(3,16)",2,13,3.097162882486979,0.13
context_aware,rsa,"(3,16)",2,23,2.92906494140625,0.23
context_aware,test,"(3,16)",3,51,4.453887939453125,0.51
context_aware,rsa,"(3,16)",3,39,4.029902458190918,0.39
context_aware,test,"(3,16)",4,32,3.4640185832977295,0.32
context_aware,rsa,"(3,16)",4,40,3.932811737060547,0.4
context_aware,test,"(4,4)",0,728,3.0469986454133067,0.5824
context_aware,rsa,"(4,4)",0,182,3.4920476277669272,0.1456
context_aware,test,"(4,4)",1,901,3.1097076416015623,0.7208
context_aware,rsa,"(4,4)",1,178,3.623382023402623,0.1424
context_aware,test,"(4,4)",2,668,2.960040283203125,0.5344
context_aware,rsa,"(4,4)",2,141,3.289963785807292,0.1128
context_aware,test,"(4,4)",3,941,3.583350164240057,0.7528
context_aware,rsa,"(4,4)",3,155,3.231045992869251,0.124
context_aware,test,"(4,4)",4,870,3.3435819353376117,0.696
context_aware,rsa,"(4,4)",4,122,3.292799949645996,0.0976
context_aware,test,"(4,8)",0,85,5.435678270128038,0.85
context_aware,rsa,"(4,8)",0,52,3.7633421761648997,0.52
context_aware,test,"(4,8)",1,82,3.6217737197875977,0.82
context_aware,rsa,"(4,8)",1,47,4.47881589617048,0.47
context_aware,test,"(4,8)",2,85,3.0549618857247487,0.85
context_aware,rsa,"(4,8)",2,62,4.7575068754308365,0.62
context_aware,test,"(4,8)",3,34,3.933792931692941,0.34
context_aware,rsa,"(4,8)",3,52,3.6124496459960938,0.52
context_aware,test,"(4,8)",4,46,3.8368240356445313,0.46
context_aware,rsa,"(4,8)",4,59,3.9226671854654946,0.59
context_aware,test,"(5,4)",0,92,4.396186351776123,0.92
context_aware,rsa,"(5,4)",0,50,2.633091688156128,0.5
context_aware,test,"(5,4)",1,91,3.066012382507324,0.91
context_aware,rsa,"(5,4)",1,46,3.111757278442383,0.46
context_aware,test,"(5,4)",2,62,2.5095653533935547,0.62
context_aware,rsa,"(5,4)",2,50,4.044269180297851,0.5
context_aware,test,"(5,4)",3,87,3.210536003112793,0.87
context_aware,rsa,"(5,4)",3,56,3.3266269683837892,0.56
context_aware,test,"(5,4)",4,81,4.3733961922781805,0.81
context_aware,rsa,"(5,4)",4,55,2.7974777221679688,0.55
