condition,rsa,dataset,run,fixed,ml
context_unaware,test,"(3,4)",0,0,3.65
context_unaware,test,"(3,4)",0,1,4.1
context_unaware,test,"(3,4)",0,2,5.688
context_unaware,test,"(3,4)",0,3,
context_unaware,test,"(3,4)",0,4,
context_unaware,rsa,"(3,4)",0,0,2.5
context_unaware,rsa,"(3,4)",0,1,2.686
context_unaware,rsa,"(3,4)",0,2,2.894
context_unaware,rsa,"(3,4)",0,3,
context_unaware,rsa,"(3,4)",0,4,
context_unaware,test,"(3,4)",1,0,5.3
context_unaware,test,"(3,4)",1,1,5.857
context_unaware,test,"(3,4)",1,2,5.812
context_unaware,test,"(3,4)",1,3,
context_unaware,test,"(3,4)",1,4,
context_unaware,rsa,"(3,4)",1,0,4.0
context_unaware,rsa,"(3,4)",1,1,4.686
context_unaware,rsa,"(3,4)",1,2,4.525
context_unaware,rsa,"(3,4)",1,3,
context_unaware,rsa,"(3,4)",1,4,
context_unaware,test,"(3,4)",2,0,5.3
context_unaware,test,"(3,4)",2,1,6.014
context_unaware,test,"(3,4)",2,2,6.875
context_unaware,test,"(3,4)",2,3,
context_unaware,test,"(3,4)",2,4,
context_unaware,rsa,"(3,4)",2,0,3.95
context_unaware,rsa,"(3,4)",2,1,3.529
context_unaware,rsa,"(3,4)",2,2,3.806
context_unaware,rsa,"(3,4)",2,3,
context_unaware,rsa,"(3,4)",2,4,
context_unaware,test,"(3,4)",3,0,5.8
context_unaware,test,"(3,4)",3,1,3.643
context_unaware,test,"(3,4)",3,2,3.5
context_unaware,test,"(3,4)",3,3,
context_unaware,test,"(3,4)",3,4,
context_unaware,rsa,"(3,4)",3,0,2.55
context_unaware,rsa,"(3,4)",3,1,2.157
context_unaware,rsa,"(3,4)",3,2,2.162
context_unaware,rsa,"(3,4)",3,3,
context_unaware,rsa,"(3,4)",3,4,
context_unaware,test,"(3,4)",4,0,5.0
context_unaware,test,"(3,4)",4,1,7.243
context_unaware,test,"(3,4)",4,2,8.812
context_unaware,test,"(3,4)",4,3,
context_unaware,test,"(3,4)",4,4,
context_unaware,rsa,"(3,4)",4,0,3.9
context_unaware,rsa,"(3,4)",4,1,3.8
context_unaware,rsa,"(3,4)",4,2,4.575
context_unaware,rsa,"(3,4)",4,3,
context_unaware,rsa,"(3,4)",4,4,
context_unaware,test,"(3,8)",0,0,10.033
context_unaware,test,"(3,8)",0,1,10.46
context_unaware,test,"(3,8)",0,2,14.05
context_unaware,test,"(3,8)",0,3,
context_unaware,test,"(3,8)",0,4,
context_unaware,rsa,"(3,8)",0,0,6.867
context_unaware,rsa,"(3,8)",0,1,7.164
context_unaware,rsa,"(3,8)",0,2,7.504
context_unaware,rsa,"(3,8)",0,3,
context_unaware,rsa,"(3,8)",0,4,
context_unaware,test,"(3,8)",1,0,7.133
context_unaware,test,"(3,8)",1,1,8.143
context_unaware,test,"(3,8)",1,2,9.01
context_unaware,test,"(3,8)",1,3,
context_unaware,test,"(3,8)",1,4,
context_unaware,rsa,"(3,8)",1,0,6.533
context_unaware,rsa,"(3,8)",1,1,6.576
context_unaware,rsa,"(3,8)",1,2,6.698
context_unaware,rsa,"(3,8)",1,3,
context_unaware,rsa,"(3,8)",1,4,
context_unaware,test,"(3,8)",2,0,8.567
context_unaware,test,"(3,8)",2,1,8.776
context_unaware,test,"(3,8)",2,2,10.327
context_unaware,test,"(3,8)",2,3,
context_unaware,test,"(3,8)",2,4,
context_unaware,rsa,"(3,8)",2,0,7.367
context_unaware,rsa,"(3,8)",2,1,7.126
context_unaware,rsa,"(3,8)",2,2,7.467
context_unaware,rsa,"(3,8)",2,3,
context_unaware,rsa,"(3,8)",2,4,
context_unaware,test,"(3,8)",3,0,8.7
context_unaware,test,"(3,8)",3,1,8.905
context_unaware,test,"(3,8)",3,2,9.95
context_unaware,test,"(3,8)",3,3,
context_unaware,test,"(3,8)",3,4,
context_unaware,rsa,"(3,8)",3,0,7.233
context_unaware,rsa,"(3,8)",3,1,7.54
context_unaware,rsa,"(3,8)",3,2,7.68
context_unaware,rsa,"(3,8)",3,3,
context_unaware,rsa,"(3,8)",3,4,
context_unaware,test,"(3,8)",4,0,8.567
context_unaware,test,"(3,8)",4,1,10.471
context_unaware,test,"(3,8)",4,2,12.851
context_unaware,test,"(3,8)",4,3,
context_unaware,test,"(3,8)",4,4,
context_unaware,rsa,"(3,8)",4,0,8.067
context_unaware,rsa,"(3,8)",4,1,7.976
context_unaware,rsa,"(3,8)",4,2,8.239
context_unaware,rsa,"(3,8)",4,3,
context_unaware,rsa,"(3,8)",4,4,
context_unaware,test,"(3,16)",0,0,
context_unaware,test,"(3,16)",0,1,20.0
context_unaware,test,"(3,16)",0,2,20.0
context_unaware,test,"(3,16)",0,3,
context_unaware,test,"(3,16)",0,4,
context_unaware,rsa,"(3,16)",0,0,
context_unaware,rsa,"(3,16)",0,1,14.2
context_unaware,rsa,"(3,16)",0,2,15.171
context_unaware,rsa,"(3,16)",0,3,
context_unaware,rsa,"(3,16)",0,4,
context_unaware,test,"(3,16)",1,0,
context_unaware,test,"(3,16)",1,1,3.667
context_unaware,test,"(3,16)",1,2,3.286
context_unaware,test,"(3,16)",1,3,
context_unaware,test,"(3,16)",1,4,
context_unaware,rsa,"(3,16)",1,0,
context_unaware,rsa,"(3,16)",1,1,3.533
context_unaware,rsa,"(3,16)",1,2,3.0
context_unaware,rsa,"(3,16)",1,3,
context_unaware,rsa,"(3,16)",1,4,
context_unaware,test,"(3,16)",2,0,
context_unaware,test,"(3,16)",2,1,4.067
context_unaware,test,"(3,16)",2,2,4.0
context_unaware,test,"(3,16)",2,3,
context_unaware,test,"(3,16)",2,4,
context_unaware,rsa,"(3,16)",2,0,
context_unaware,rsa,"(3,16)",2,1,3.633
context_unaware,rsa,"(3,16)",2,2,3.843
context_unaware,rsa,"(3,16)",2,3,
context_unaware,rsa,"(3,16)",2,4,
context_unaware,test,"(3,16)",3,0,
context_unaware,test,"(3,16)",3,1,8.533
context_unaware,test,"(3,16)",3,2,9.0
context_unaware,test,"(3,16)",3,3,
context_unaware,test,"(3,16)",3,4,
context_unaware,rsa,"(3,16)",3,0,
context_unaware,rsa,"(3,16)",3,1,6.333
context_unaware,rsa,"(3,16)",3,2,6.429
context_unaware,rsa,"(3,16)",3,3,
context_unaware,rsa,"(3,16)",3,4,
context_unaware,test,"(3,16)",4,0,
context_unaware,test,"(3,16)",4,1,2.833
context_unaware,test,"(3,16)",4,2,2.857
context_unaware,test,"(3,16)",4,3,
context_unaware,test,"(3,16)",4,4,
context_unaware,rsa,"(3,16)",4,0,
context_unaware,rsa,"(3,16)",4,1,2.567
context_unaware,rsa,"(3,16)",4,2,2.486
context_unaware,rsa,"(3,16)",4,3,
context_unaware,rsa,"(3,16)",4,4,
context_unaware,test,"(4,4)",0,0,7.46
context_unaware,test,"(4,4)",0,1,6.465
context_unaware,test,"(4,4)",0,2,7.23
context_unaware,test,"(4,4)",0,3,6.673
context_unaware,test,"(4,4)",0,4,
context_unaware,rsa,"(4,4)",0,0,4.42
context_unaware,rsa,"(4,4)",0,1,4.365
context_unaware,rsa,"(4,4)",0,2,4.906
context_unaware,rsa,"(4,4)",0,3,4.876
context_unaware,rsa,"(4,4)",0,4,
context_unaware,test,"(4,4)",1,0,5.34
context_unaware,test,"(4,4)",1,1,7.265
context_unaware,test,"(4,4)",1,2,8.191
context_unaware,test,"(4,4)",1,3,9.0
context_unaware,test,"(4,4)",1,4,
context_unaware,rsa,"(4,4)",1,0,3.68
context_unaware,rsa,"(4,4)",1,1,4.782
context_unaware,rsa,"(4,4)",1,2,4.713
context_unaware,rsa,"(4,4)",1,3,5.145
context_unaware,rsa,"(4,4)",1,4,
context_unaware,test,"(4,4)",2,0,10.16
context_unaware,test,"(4,4)",2,1,10.776
context_unaware,test,"(4,4)",2,2,11.083
context_unaware,test,"(4,4)",2,3,12.367
context_unaware,test,"(4,4)",2,4,
context_unaware,rsa,"(4,4)",2,0,5.98
context_unaware,rsa,"(4,4)",2,1,6.112
context_unaware,rsa,"(4,4)",2,2,6.087
context_unaware,rsa,"(4,4)",2,3,6.724
context_unaware,rsa,"(4,4)",2,4,
context_unaware,test,"(4,4)",3,0,14.62
context_unaware,test,"(4,4)",3,1,13.865
context_unaware,test,"(4,4)",3,2,14.798
context_unaware,test,"(4,4)",3,3,14.224
