word,frequency,length
في,8463,2
من,5798,2
على,3869,3
أن,2773,2
إلى,2629,3
التي,1432,4
عن,1310,2
مع,1140,2
ما,871,2
الذي,732,4
هذا,722,3
لا,701,2
خلال,660,4
هذه,656,3
إن,592,2
بعد,592,3
بين,592,3
أو,544,2
اليوم,499,5
أنه,462,3
كما,446,3
كان,430,3
رئيس,424,4
و,424,1
ذلك,401,3
قبل,387,3
وقال,385,4
لم,380,2
كل,368,2
قد,365,2
الرئيس,362,6
عام,346,3
هو,345,2
المتحدة,339,7
العام,337,5
حيث,336,3
وفي,321,3
أي,310,2
تم,308,2
غير,300,3
أكثر,293,4
منذ,288,3
وزارة,279,5
روسيا,276,5
قال,264,3
يوم,260,3
الى,259,3
لكن,257,3
بشكل,250,4
حتى,248,3
عبر,246,3
مجلس,237,4
هناك,235,4
وزير,235,4
حول,229,3
كانت,226,4
وهو,226,3
أوكرانيا,223,8
بعض,220,3
الله,218,4
الحكومة,215,7
الخارجية,213,8
يمكن,210,4
هي,209,2
الاحتلال,206,8
العربية,205,7
العالم,200,6
وأضاف,200,5
فيما,192,4
العامة,191,6
بسبب,186,4
الدول,185,5
فإن,184,3
مثل,184,3
عدد,183,3
الولايات,181,8
إذا,179,3
إسرائيل,179,7
وقت,179,3
ان,178,2
ضد,178,2
الذين,177,5
محمد,175,4
عبد,173,3
وقالت,173,5
الروسي,171,6
أجل,170,3
بيان,169,4
بأن,165,3
الروسية,164,7
ومن,164,3
أخرى,160,4
دولار,158,5
الوزراء,157,7
فيها,157,4
أنها,156,4
جميع,154,4
بها,153,3
مليون,153,5
الوطني,151,6
دون,149,3
بما,148,3
والتي,148,5
أمام,147,4
وهي,147,3
العمل,146,5
فيه,145,3
وكان,145,4
ألف,144,3
مدينة,144,5
وقد,144,3
ولا,144,3
الدولي,143,6
بشأن,143,4
عليه,143,4
الدولية,142,7
لبنان,142,5
نحو,142,3
يكون,142,4
الاتحاد,138,7
القوات,138,6
البلاد,137,6
الجيش,137,5
الدفاع,136,6
إنه,135,3
ولكن,135,4
له,134,2
لن,132,2
أحد,130,3
الأمن,130,5
جديدة,129,5
تلك,127,3
مما,126,3
الحرب,125,5
المنطقة,125,7
عملية,123,5
قوات,123,4
الدولة,122,6
الوطنية,122,7
بحسب,122,4
لها,122,3
الأول,121,5
وكالة,121,5
عندما,120,5
وذلك,120,4
الوقت,119,5
إلا,118,3
الماضي,118,6
عدم,118,3
عليها,118,5
فقط,118,3
الطاقة,116,6
حالة,116,4
الأمريكي,115,8
الصحة,115,5
بن,115,2
تحت,113,3
شركة,113,4
ليس,113,3
مليار,113,5
منها,113,4
أعلنت,112,5
أمس,112,3
الأمر,112,5
الإسرائيلي,112,10
داخل,112,4
مستوى,112,5
يجب,112,3
الآن,111,4
تكون,110,4
حزب,110,3
وأشار,110,5
أكبر,109,4
الأمريكية,109,9
به,109,2
مجموعة,109,6
ولم,109,3
يتم,109,3
أيضا,108,4
دول,108,3
أسعار,107,5
فقد,107,3
منطقة,107,5
الأولى,106,6
عند,105,3
كبير,105,4
لدى,105,3
وأكد,105,4
أعلن,104,4
أكد,104,3
خاصة,104,4
العديد,103,6
آخر,102,3
وعلى,102,4
الثاني,101,6
السعودية,101,8
القدس,101,5
المالية,100,7
ضمن,100,3
بينما,99,5
الخاصة,98,6
العسكرية,98,8
إيران,97,5
وجود,97,4
النفط,96,5
دولة,96,4
إدارة,95,5
أول,94,3
الشرطة,94,6
العاصمة,94,7
المملكة,94,7
الأخيرة,93,7
الغربية,93,7
المجلس,93,6
بايدن,93,5
التعاون,92,7
حين,92,3
موقع,92,4
الإمارات,91,8
بـ,91,2
شهر,91,3
كبيرة,91,5
السابق,90,6
وأن,90,3
العلاقات,89,8
باسم,89,4
عمل,89,3
نهاية,89,5
وهذا,89,4
إطلاق,88,5
والذي,88,5
الأوروبي,87,8
