,index,frequency
0,0,8463
1,1,5798
2,2,3869
3,3,2773
4,4,2629
5,5,1432
6,6,1310
7,7,1153
8,8,1140
9,9,871
10,10,732
11,11,722
12,12,701
13,13,660
14,14,656
15,15,592
16,16,592
17,17,592
18,18,544
19,19,499
20,20,462
21,21,446
22,22,430
23,23,424
24,24,424
25,25,401
26,26,387
27,27,385
28,28,380
29,29,368
30,30,365
31,31,362
32,32,346
33,33,345
34,34,339
35,35,337
36,36,336
37,37,321
38,38,310
39,39,308
40,40,300
41,41,293
42,42,288
43,43,279
44,44,276
45,45,264
46,46,260
47,47,259
48,48,257
49,49,250
50,50,248
51,51,246
52,52,237
53,53,235
54,54,235
55,55,229
56,56,226
57,57,226
58,58,223
59,59,220
60,60,218
61,61,215
62,62,213
63,63,210
64,64,209
65,65,206
66,66,205
67,67,200
68,68,200
69,69,192
70,70,191
71,71,186
