word,frequency,length
the,10227,3
to,5528,2
and,5165,3
of,4864,2
a,4514,1
in,3992,2
for,1983,3
that,1886,4
on,1867,2
is,1851,2
with,1515,4
The,1514,3
was,1317,3
at,1112,2
as,1098,2
be,929,2
it,928,2
from,912,4
has,894,3
said,888,4
are,883,3
by,846,2
I,825,1
have,801,4
this,731,4
will,726,4
an,724,2
he,705,2
his,693,3
their,582,5
not,565,3
you,543,3
had,484,3
her,483,3
they,483,4
been,480,4
but,478,3
who,467,3
or,443,2
were,439,4
which,421,5
also,417,4
its,415,3
we,408,2
can,405,3
after,399,5
more,399,4
about,393,5
one,366,3
out,358,3
all,356,3
up,355,2
she,346,3
would,332,5
people,313,6
when,307,4
time,302,4
He,298,2
year,277,4
your,276,4
first,275,5
our,275,3
just,274,4
new,274,3
so,271,2
This,269,4
over,268,4
In,265,2
last,264,4
into,260,4
A,258,1
there,251,5
like,249,4
during,247,6
what,245,4
shares,240,6
now,239,3
It,236,2
We,234,2
them,230,4
other,228,5
than,228,4
years,228,5
two,217,3
get,214,3
my,212,2
some,212,4
him,206,3
back,204,4
could,204,5
do,202,2
if,202,2
But,183,3
no,181,2
before,179,6
only,178,4
through,175,7
quarter,172,7
most,170,4
being,166,5
home,166,4
how,166,3
make,166,4
made,165,4
stock,165,5
even,159,4
these,157,5
while,156,5
against,155,7
many,154,4
me,154,2
where,154,5
because,149,7
take,149,4
And,146,3
any,144,3
those,143,5
three,143,5
work,142,4
off,140,3
want,140,4
then,139,4
going,138,5
very,138,4
They,135,4
She,132,3
company,132,7
down,132,4
day,131,3
game,131,4
since,131,5
As,128,2
around,128,6
may,127,3
go,126,2
see,126,3
well,126,4
including,125,9
way,125,3
support,124,7
per,123,3
come,122,4
family,122,6
us,122,2
between,121,7
such,121,4
told,121,4
price,120,5
should,120,6
much,119,4
set,119,3
both,118,4
place,118,5
season,118,6
part,117,4
team,116,4
week,116,4
need,114,4
good,111,4
local,109,5
For,108,3
left,108,4
think,107,5
New,106,3
did,106,3
government,106,10
help,106,4
own,106,3
really,106,6
another,104,7
know,104,4
Friday,103,6
added,103,5
million,103,7
second,103,6
best,102,4
next,100,4
report,100,6
If,97,2
across,97,6
say,97,3
Trump,96,5
life,96,4
state,96,5
still,96,5
rating,95,6
right,95,5
found,94,5
same,94,4
says,94,4
police,93,6
under,93,5
four,92,4
There,89,5
went,88,4
You,87,3
country,86,7
got,86,3
making,86,6
Wednesday,85,9
due,85,3
media,85,5
too,85,3
top,85,3
However,84,7
area,84,4
man,84,3
When,83,4
use,83,3
without,83,7
came,82,4
show,82,4
took,82,4
community,81,9
end,81,3
That,80,4
look,80,4
number,80,6
market,79,6
On,78,2
case,78,4
following,78,9
public,78,6
put,78,3
services,78,8
Saturday,77,8
according,77,9
again,77,5
great,77,5
high,77,4
lot,77,3
used,77,4
Mr,76,2
able,76,4
days,76,4
research,76,8
Tuesday,75,7
every,75,5
worth,75,5
average,74,7
business,74,8
months,74,6
working,74,7
While,73,5
different,73,9
health,73,6
keep,73,4
recent,73,6
social,73,6
Thursday,72,8
here,72,4
past,72,4
event,71,5
long,71,4
State,70,5
always,70,6
later,70,5
Monday,69,6
Sunday,69,6
each,69,4
five,69,4
games,69,5
owns,69,4
something,69,9
water,69,5
win,69,3
world,69,5
President,68,9
never,68,5
times,68,5
billion,67,7
final,67,5
month,67,5
play,67,4
side,67,4
away,66,4
having,66,6
things,66,6
National,65,8
So,65,2
called,65,6
former,65,6
night,65,5
several,65,7
additional,64,10
future,64,6
May,63,3
city,63,4
few,63,3
find,63,4
important,63,9
news,63,4
points,63,6
target,63,6
Police,62,6
big,62,3
coming,62,6
ever,62,4
given,62,5
group,62,5
might,62,5
once,62,4
valued,62,6
City,61,4
already,61,7
current,61,7
love,61,4
money,61,5
seen,61,4
children,60,8
until,60,5
within,60,6
done,59,4
party,59,5
school,59,6
though,59,6
building,58,8
comes,58,5
likely,58,6
members,58,7
After,57,5
better,57,6
court,57,5
forward,57,7
young,57,5
US,56,2
United,56,6
car,56,3
change,56,6
job,56,3
position,56,8
six,56,3
At,55,2
With,55,4
available,55,9
continue,55,8
data,55,4
experience,55,10
information,55,11
lead,55,4
must,55,4
reported,55,8
run,55,3
service,55,7
system,55,6
third,55,5
woman,55,5
County,54,6
One,54,3
UK,54,2
close,54,5
death,54,5
development,54,11
does,54,4
doing,54,5
election,54,8
lost,54,4
period,54,6
staff,54,5
statement,54,9
together,54,8
why,54,3
April,53,5
areas,53,5
become,53,6
fire,53,4
gave,53,4
point,53,5
taking,53,6
February,52,8
October,52,7
York,52,4
currently,52,9
far,52,3
further,52,7
head,52,4
hours,52,5
known,52,5
least,52,5
played,52,6
real,52,4
security,52,8
What,51,4
cent,51,4
food,51,4
give,51,4
move,51,4
players,51,7
sure,51,4
American,50,8
June,50,4
early,50,5
looking,50,7
major,50,5
post,50,4
role,50,4
using,50,5
West,49,4
half,49,4
line,49,4
morning,49,7
officials,49,9
president,49,9
process,49,7
rate,49,4
sold,49,4
started,49,7
LLC,48,3
November,48,8
along,48,5
control,48,7
course,48,6
energy,48,6
getting,48,7
history,48,7
issues,48,6
performance,48,11
person,48,6
plan,48,4
project,48,7
remains,48,7
video,48,5
January,47,7
To,47,2
am,47,2
asked,47,5
deal,47,4
expected,47,8
law,47,3
