game_nr,message,targets,fixed indices,context condition,distractors,accuracy
18,[3],[2. 0. 1.],[1. 1. 1.],2,[2. 0. 2.],0.984360933303833
361,[3],[3. 2. 1.],[0. 1. 1.],1,[2. 2. 3.],0.996868908405304
373,[3],[3. 0. 1.],[1. 0. 1.],1,[3. 0. 2.],0.9937493801116943
386,[3],[3. 1. 1.],[1. 1. 1.],2,[3. 1. 2.],0.9999997615814209
399,[3],[2. 1. 1.],[0. 1. 1.],1,[2. 1. 2.],0.9999997019767761
401,[3],[2. 0. 1.],[0. 1. 1.],1,[3. 0. 2.],0.9624946117401123
429,[3],[1. 3. 1.],[1. 0. 1.],1,[1. 2. 2.],0.9937497973442078
450,[3],[1. 0. 1.],[1. 1. 1.],2,[1. 0. 3.],0.9656004905700684
469,[3],[0. 2. 1.],[1. 1. 1.],1,[3. 2. 3.],0.993743896484375
481,[3],[0. 2. 1.],[1. 1. 1.],2,[0. 2. 3.],0.9938868284225464
517,[3],[0. 0. 1.],[1. 0. 1.],0,[1. 1. 0.],0.9812390208244324
534,[3],[0. 2. 1.],[1. 1. 1.],1,[3. 2. 2.],0.996875524520874
554,[3],[0. 1. 1.],[1. 1. 1.],0,[1. 3. 3.],0.9968745708465576
599,[3],[1. 1. 1.],[1. 1. 1.],2,[1. 1. 2.],0.9687511324882507
631,[3],[3. 0. 1.],[0. 1. 1.],1,[3. 0. 2.],0.9906248450279236
655,[3],[3. 2. 1.],[1. 0. 1.],1,[3. 2. 2.],0.9750325679779053
658,[3],[0. 3. 1.],[1. 0. 1.],0,[3. 1. 2.],0.9999949932098389
694,[3],[3. 1. 1.],[0. 1. 1.],0,[0. 2. 2.],0.9843854308128357
714,[3],[3. 3. 1.],[1. 1. 1.],2,[3. 3. 3.],0.9593727588653564
722,[3],[2. 3. 1.],[1. 0. 1.],1,[2. 1. 2.],0.9906250238418579
355,[3],[0. 2. 1.],[1. 0. 1.],0,[2. 2. 3.],0.9968739151954651
342,[3],[3. 0. 1.],[1. 1. 1.],2,[3. 0. 2.],0.9968721866607666
326,[3],[2. 2. 1.],[0. 1. 1.],1,[1. 2. 0.],0.9781246185302734
306,[3],[3. 2. 1.],[1. 1. 1.],2,[3. 2. 0.],0.9843752384185791
56,[3],[1. 1. 1.],[0. 1. 1.],1,[3. 1. 2.],0.9968748688697815
85,[3],[0. 1. 1.],[1. 1. 1.],2,[0. 1. 3.],0.9781386852264404
102,[3],[0. 1. 1.],[0. 1. 1.],0,[0. 3. 2.],0.9999911189079285
104,[3],[2. 1. 1.],[1. 1. 1.],2,[2. 1. 3.],0.9999518394470215
130,[3],[3. 1. 1.],[0. 1. 1.],0,[3. 3. 0.],0.9999748468399048
131,[3],[3. 0. 1.],[1. 0. 1.],1,[3. 2. 0.],0.9999715089797974
147,[3],[0. 2. 1.],[1. 1. 1.],1,[2. 2. 3.],0.9999989867210388
149,[3],[0. 2. 1.],[1. 1. 1.],2,[0. 2. 3.],0.9999992847442627
169,[3],[1. 0. 1.],[1. 0. 1.],1,[1. 0. 2.],0.9687473177909851
734,[3],[0. 1. 1.],[1. 1. 1.],0,[1. 2. 2.],0.9906430244445801
178,[3],[3. 0. 1.],[1. 1. 1.],2,[3. 0. 2.],0.9999984502792358
197,[3],[0. 1. 1.],[1. 0. 1.],0,[2. 0. 2.],0.9999986886978149
208,[3],[1. 3. 1.],[1. 0. 1.],1,[1. 2. 0.],0.9687492847442627
219,[3],[0. 0. 1.],[1. 0. 1.],1,[0. 0. 3.],0.9687488675117493
257,[3],[2. 2. 1.],[1. 0. 1.],1,[2. 3. 3.],0.9906232953071594
266,[3],[1. 1. 1.],[0. 1. 1.],1,[0. 1. 0.],0.9906247854232788
284,[3],[3. 1. 1.],[0. 1. 1.],0,[0. 0. 2.],0.9999991655349731
287,[3],[1. 3. 1.],[0. 1. 1.],1,[2. 3. 2.],0.9999995827674866
294,[3],[1. 1. 1.],[1. 1. 1.],1,[1. 2. 0.],0.9999743700027466
304,[3],[0. 1. 1.],[1. 1. 1.],0,[3. 3. 0.],0.9843798875808716
189,[3],[1. 1. 1.],[1. 1. 1.],2,[1. 1. 0.],0.9999997615814209
735,[3],[0. 0. 1.],[1. 1. 1.],1,[3. 0. 3.],0.9906260371208191
