game_nr,target,fixed indices,context condition,distractor,message,accuracy
140,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[4],0.9546000361442566
141,[2. 0. 3.],[1. 1. 1.],2,[2. 3. 3.],"[1, 1]",0.9884000420570374
142,[2. 0. 3.],[1. 1. 1.],0,[1. 3. 0.],[4],0.9546000361442566
143,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[4],0.9546000361442566
144,[2. 0. 3.],[1. 1. 1.],2,[2. 1. 3.],"[1, 1]",0.9884000420570374
145,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 0.],[4],0.9546000361442566
146,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[4],0.9546000361442566
147,[2. 0. 3.],[1. 1. 1.],1,[2. 2. 1.],[3],0.9546000361442566
148,[2. 0. 3.],[1. 1. 1.],2,[2. 0. 0.],[3],0.9546000361442566
149,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 1.],[4],0.9546000361442566
