game_nr,target,fixed indices,context condition,distractor,message,accuracy
140,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[4, 1, 4, 1]",0.9501999616622925
141,[2. 0. 3.],[1. 1. 1.],2,[2. 3. 3.],"[3, 3, 2, 2, 3]",0.9458000063896179
142,[2. 0. 3.],[1. 1. 1.],0,[1. 3. 0.],"[3, 3, 3, 3, 4, 4]",0.9511999487876892
143,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[4, 1, 4, 1]",0.9501999616622925
144,[2. 0. 3.],[1. 1. 1.],2,[2. 1. 3.],"[3, 3, 2, 2, 3]",0.9458000063896179
145,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 0.],"[3, 3, 4, 3, 4, 3]",0.9511999487876892
146,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[4, 1, 4, 1]",0.9501999616622925
147,[2. 0. 3.],[1. 1. 1.],1,[2. 2. 1.],"[3, 4, 3, 3, 3]",0.9458000063896179
148,[2. 0. 3.],[1. 1. 1.],2,[2. 0. 0.],"[4, 3, 4, 4, 4]",0.9458000063896179
149,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 1.],"[3, 3, 4, 3, 4, 3]",0.9511999487876892
