game_nr,message,targets,fixed indices,context condition,distractors,accuracy
1724,"[1, 1, 1]",[0. 2. 3. 2.],[1. 1. 1. 1.],3,[0. 2. 2. 2.],0.9703340530395508
2004,"[1, 1, 1]",[3. 0. 3. 0.],[0. 0. 1. 0.],0,[1. 3. 0. 3.],0.9999999403953552
2049,"[1, 1, 1]",[2. 1. 3. 0.],[1. 0. 1. 1.],1,[2. 0. 2. 2.],1.0
2087,"[1, 1, 1]",[3. 2. 3. 1.],[1. 1. 1. 1.],2,[3. 2. 0. 3.],0.9999999403953552
2118,"[1, 1, 1]",[0. 0. 3. 0.],[1. 1. 1. 1.],0,[3. 3. 0. 2.],0.9971268773078918
2149,"[1, 1, 1]",[2. 0. 3. 2.],[1. 1. 1. 1.],2,[2. 3. 2. 2.],0.9999995827674866
2169,"[1, 1, 1]",[2. 2. 3. 1.],[0. 1. 1. 1.],1,[1. 2. 2. 0.],0.9999986886978149
2176,"[1, 1, 1]",[0. 0. 3. 3.],[1. 1. 1. 1.],1,[0. 3. 1. 2.],0.9996635913848877
2002,"[1, 1, 1]",[0. 0. 3. 3.],[1. 1. 1. 1.],1,[2. 1. 2. 3.],0.9999998807907104
2182,"[1, 1, 1]",[1. 3. 3. 0.],[1. 1. 1. 1.],2,[1. 3. 0. 2.],1.0
2210,"[1, 1, 1]",[3. 2. 3. 0.],[0. 1. 1. 1.],0,[1. 0. 2. 3.],1.0
2298,"[1, 1, 1]",[0. 0. 3. 2.],[1. 1. 1. 1.],1,[0. 3. 1. 0.],0.9999998807907104
2315,"[1, 1, 1]",[2. 0. 3. 0.],[1. 0. 1. 1.],0,[3. 0. 2. 1.],0.9999997615814209
2330,"[1, 1, 1]",[1. 0. 3. 2.],[1. 1. 1. 0.],2,[1. 0. 1. 2.],1.0000001192092896
2339,"[1, 1, 1]",[0. 0. 3. 2.],[0. 1. 1. 1.],1,[2. 1. 1. 2.],0.999999463558197
2387,"[1, 1, 1]",[0. 3. 3. 2.],[0. 0. 1. 1.],1,[1. 1. 1. 2.],0.9999998807907104
2388,"[1, 1, 1]",[1. 0. 3. 1.],[0. 1. 1. 1.],2,[0. 0. 1. 1.],1.0
2199,"[1, 1, 1]",[1. 1. 3. 0.],[1. 0. 1. 1.],0,[2. 2. 0. 3.],0.9999999403953552
1990,"[1, 1, 1]",[0. 3. 3. 0.],[1. 1. 1. 1.],2,[0. 3. 0. 3.],1.0
1951,"[1, 1, 1]",[1. 2. 3. 0.],[0. 1. 1. 1.],0,[0. 0. 0. 1.],1.0000001192092896
1947,"[1, 1, 1]",[1. 2. 3. 1.],[0. 1. 1. 0.],0,[1. 3. 2. 0.],1.0
1459,"[1, 1, 1]",[1. 0. 3. 2.],[1. 1. 1. 1.],1,[2. 2. 2. 2.],0.9999998807907104
1471,"[1, 1, 1]",[1. 2. 3. 0.],[1. 1. 1. 1.],2,[1. 2. 2. 2.],1.0
1488,"[1, 1, 1]",[1. 2. 3. 1.],[1. 1. 1. 1.],3,[1. 2. 0. 1.],1.0
1512,"[1, 1, 1]",[1. 1. 3. 1.],[1. 1. 1. 1.],2,[1. 1. 2. 3.],0.9999999403953552
1542,"[1, 1, 1]",[2. 2. 3. 0.],[1. 0. 1. 1.],0,[1. 0. 0. 1.],0.9999380707740784
1555,"[1, 1, 1]",[1. 2. 3. 3.],[1. 1. 1. 1.],3,[1. 2. 0. 3.],1.0
