game_nr,message,targets,fixed indices,context condition,distractors,accuracy
1262,"[4, 1, 1, 1]",[0. 3. 1. 3.],[0. 1. 1. 0.],1,[3. 1. 1. 2.],0.9594252705574036
1435,"[4, 1, 1, 1]",[0. 3. 1. 2.],[1. 1. 1. 1.],0,[3. 2. 2. 0.],0.9416980743408203
2854,"[4, 1, 1, 1]",[1. 3. 1. 0.],[0. 1. 1. 0.],1,[3. 3. 3. 0.],0.9203633069992065
3357,"[4, 1, 1, 1]",[0. 3. 1. 3.],[0. 1. 1. 0.],1,[1. 2. 1. 3.],0.9514666199684143
1057,"[4, 1, 2]",[2. 1. 1. 2.],[0. 0. 1. 1.],0,[1. 1. 3. 0.],0.976852536201477
1587,"[4, 1, 2]",[3. 2. 1. 2.],[1. 0. 1. 1.],0,[1. 2. 2. 0.],0.983944296836853
2253,"[4, 1, 2]",[2. 3. 1. 1.],[1. 0. 1. 0.],0,[1. 2. 3. 2.],0.9557066559791565
1764,"[4, 1, 2, 1]",[2. 2. 1. 2.],[0. 0. 1. 1.],0,[3. 0. 2. 0.],0.9584929943084717
2911,"[4, 1, 2, 1]",[0. 3. 1. 2.],[0. 1. 1. 1.],1,[1. 1. 1. 3.],0.8800302743911743
1669,"[4, 1, 4]",[2. 0. 1. 0.],[1. 0. 1. 1.],0,[1. 3. 2. 1.],0.928571343421936
2228,"[4, 1, 4]",[2. 3. 1. 0.],[1. 0. 1. 1.],2,[2. 1. 0. 0.],0.9334060549736023
2363,"[4, 1, 4]",[2. 2. 1. 0.],[1. 0. 1. 0.],0,[0. 1. 2. 1.],0.9685870409011841
3390,"[4, 1, 4]",[2. 3. 1. 0.],[1. 0. 1. 1.],0,[0. 2. 2. 1.],0.9103600382804871
