game_nr,target,fixed indices,context condition,distractor,message,accuracy
20,[1. 1. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 2. 3.],"[3, 4, 2, 4, 3, 1, 1, 3, 4, 1, 3]",0.701171875
21,[3. 3. 1. 2.],[0. 0. 1. 0.],0,[1. 2. 3. 0.],"[3, 4, 2, 4, 3, 1, 1, 3, 4, 1, 3]",0.701171875
22,[0. 0. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 2. 3.],"[2, 2, 3, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1]",0.7019531726837158
23,[0. 3. 1. 1.],[0. 0. 1. 0.],0,[1. 1. 0. 0.],"[3, 4, 2, 4, 3, 1, 1, 3, 4, 1, 3]",0.701171875
24,[0. 0. 1. 1.],[0. 0. 1. 0.],0,[3. 0. 0. 2.],"[4, 1, 3, 1, 3, 1, 1, 1, 3, 4]",0.6994140148162842
25,[1. 3. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 0. 2.],"[3, 4, 2, 4, 3, 1, 1, 3, 4, 1, 3]",0.701171875
26,[1. 1. 1. 3.],[0. 0. 1. 0.],0,[0. 3. 2. 3.],"[3, 4, 2, 4, 3, 1, 1, 3, 4, 1, 3]",0.701171875
27,[1. 3. 1. 2.],[0. 0. 1. 0.],0,[3. 1. 2. 1.],"[3, 4, 2, 4, 1, 3, 1, 1, 3, 3, 4]",0.701171875
28,[0. 0. 1. 2.],[0. 0. 1. 0.],0,[3. 3. 2. 3.],"[2, 4, 2, 4, 3, 1, 3, 3, 1, 3, 1]",0.701171875
29,[3. 3. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 3. 2.],"[4, 3, 2, 3, 3, 3, 1, 3, 1, 3, 3]",0.701171875
